word,factual_description,confabulation,refusal_clean,clarification_request,disclaim_then_produce,misidentification_offer,meta_test_comment,conditional_invitation,compliant_invention,uncoded,empty,error,total
Ihlosi,1,53,0,49,0,2,0,0,45,0,0,0,150
Imbovane,7,4,0,91,1,1,0,0,46,0,0,0,150
Imfene,117,2,0,1,0,1,0,0,29,0,0,0,150
Impuku,111,1,0,8,0,0,0,0,30,0,0,0,150
Imvubu,130,0,0,0,0,0,0,0,20,0,0,0,150
Ingcuka,104,4,0,26,0,0,0,2,14,0,0,0,150
Ingqawa,0,35,1,68,0,22,0,0,24,0,0,0,150
Inyhwagi,0,0,0,90,3,7,0,0,50,0,0,0,150
Iqaqa,136,1,0,0,0,0,0,0,13,0,0,0,150
Ixhwili,6,0,0,93,3,3,0,0,45,0,0,0,150
